Ticker,Date,Open,High,Low,Close,Adj Close,Volume
INR=X,2021-01-01,73.08920288085938,73.3198013305664,73.0250015258789,73.08920288085938,73.08920288085938,0.0
JPY=X,2021-01-01,103.22599792480467,103.25,103.22599792480467,103.22599792480467,103.22599792480467,0.0
EUR=X,2021-01-01,0.8215000033378601,0.8240630030632019,0.8185319900512695,0.8209999799728394,0.8209999799728394,0.0
GBP=X,2021-01-01,0.730459988117218,0.7317429780960083,0.730459988117218,0.7313680052757263,0.7313680052757263,0.0
AUD=X,2021-01-01,1.2867029905319214,1.2990000247955322,1.2183829545974731,1.298200011253357,1.298200011253357,0.0
CAD=X,2021-01-01,1.2349900007247925,1.2728999853134155,1.2349900007247925,1.2349900007247925,1.2349900007247925,0.0
CHF=X,2021-01-01,0.8984000086784363,0.8989999890327454,0.8897830247879028,0.8981000185012817,0.8981000185012817,0.0
CNY=X,2021-01-01,6.531700134277344,6.5320000648498535,6.531499862670898,6.531700134277344,6.531700134277344,0.0
HKD=X,2021-01-01,7.753200054168701,7.755799770355225,7.750699996948242,7.753200054168701,7.753200054168701,0.0
SGD=X,2021-01-01,1.321300029754639,1.3229000568389893,1.3208999633789062,1.3215999603271484,1.3215999603271484,0.0
INR=X,2021-01-04,73.09200286865234,73.20099639892578,72.79850006103516,73.09200286865234,73.09200286865234,0.0
JPY=X,2021-01-04,103.24400329589844,103.24400329589844,102.70999908447266,103.23899841308594,103.23899841308594,0.0
EUR=X,2021-01-04,0.8163899779319763,0.8216000199317932,0.8123480081558228,0.8162800073623657,0.8162800073623657,0.0
GBP=X,2021-01-04,0.7308499813079834,0.7380599975585938,0.7297250032424927,0.7307699918746948,0.7307699918746948,0.0
AUD=X,2021-01-04,1.296512007713318,1.3060630559921265,1.2916560173034668,1.2966300249099731,1.2966300249099731,0.0
CAD=X,2021-01-04,1.2723599672317505,1.278589963912964,1.2662999629974363,1.2722100019454956,1.2722100019454956,0.0
CHF=X,2021-01-04,0.8831400275230408,0.8844799995422363,0.8785499930381775,0.8830999732017517,0.8830999732017517,0.0
CNY=X,2021-01-04,6.525700092315674,6.525700092315674,6.457799911499023,6.5320000648498535,6.5320000648498535,0.0
HKD=X,2021-01-04,7.752910137176514,7.753799915313721,7.751800060272217,7.753009796142578,7.753009796142578,0.0
SGD=X,2021-01-04,1.3205100297927856,1.3210699558258057,1.3157000541687012,1.3206700086593628,1.3206700086593628,0.0
INR=X,2021-01-05,73.09149932861328,73.32980346679688,72.9635009765625,73.31999969482422,73.31999969482422,0.0
JPY=X,2021-01-05,103.14199829101562,103.18000030517578,102.6719970703125,103.125,103.125,0.0
EUR=X,2021-01-05,0.8161299824714661,0.8163300156593323,0.8133500218391418,0.8162199854850769,0.8162199854850769,0.0
GBP=X,2021-01-05,0.7367600202560425,0.7376999855041504,0.7339000105857849,0.7368329763412476,0.7368329763412476,0.0
AUD=X,2021-01-05,1.3038150072097778,1.30499005317688,1.289823055267334,1.3036110401153564,1.3036110401153564,0.0
CAD=X,2021-01-05,1.277999997138977,1.278839945793152,1.2699999809265137,1.2781000137329102,1.2781000137329102,0.0
CHF=X,2021-01-05,0.8812500238418579,0.8815699815750122,0.8782699704170227,0.8812400102615356,0.8812400102615356,0.0
CNY=X,2021-01-05,6.4604997634887695,6.46619987487793,6.429399967193604,6.4604997634887695,6.4604997634887695,0.0
HKD=X,2021-01-05,7.75275993347168,7.753499984741211,7.752200126647949,7.7530198097229,7.7530198097229,0.0
SGD=X,2021-01-05,1.3202999830245972,1.3206199407577517,1.3167999982833862,1.320289969444275,1.320289969444275,0.0
INR=X,2021-01-06,73.16799926757812,73.36000061035156,73.04000091552734,73.37480163574219,73.37480163574219,0.0
JPY=X,2021-01-06,102.6999969482422,103.43099975585938,102.58999633789062,102.6780014038086,102.6780014038086,0.0
EUR=X,2021-01-06,0.8130999803543091,0.8151999711990356,0.8097000122070312,0.8129900097846985,0.8129900097846985,0.0
GBP=X,2021-01-06,0.7338700294494629,0.7383900284767151,0.7315400242805481,0.7336999773979187,0.7336999773979187,0.0
